subjid,te,actual,reported,naive
1,1,7,6,0
1,1,64,46,0
1,1,3,3,0
1,1,3,3,0
1,1,7,5,0
1,1,14,10,0
1,1,14,10,0
1,1,30,20,0
1,1,30,21,0
1,1,3,2,0
1,1,14,10,0
1,1,64,45,0
1,1,64,43,0
1,1,30,21,0
1,1,7,40,0
1,0,7,8.30745,0
1,0,64,82.3251,0
1,0,3,3.18597,0
1,0,14,16.0788,0
1,0,3,3.93483,0
1,0,3,3.95828,0
1,0,14,17.6124,0
1,0,64,71.1733,0
1,0,14,15.2267,0
1,0,7,7.43868,0
1,0,30,35.9534,0
1,0,30,31.7103,0
1,0,64,79.6606,0
1,0,7,10.2858,0
1,0,30,32.4496,0
2,1,7,5,0
2,1,3,2,0
2,1,30,19,0
2,1,64,41,0
2,1,30,20,0
2,1,64,39,0
2,1,14,9,0
2,1,14,9,0
2,1,30,17,0
2,1,7,4,0
2,1,7,5,0
2,1,3,2,0
2,1,14,9,0
2,1,64,35,0
2,1,3,2,0
2,0,14,24.9921,0
2,0,30,53.4933,0
2,0,64,114.804,0
2,0,14,25.055,0
2,0,7,11.2681,0
2,0,3,3.50979,0
2,0,30,52.0718,0
2,0,64,113.21,0
2,0,3,2.85785,0
2,0,3,4.6652,0
2,0,7,9.96003,0
2,0,30,48.1206,0
2,0,7,10.4992,0
2,0,14,24.3113,0
2,0,64,121.28,0
3,1,30,29,0
3,1,3,2,0
3,1,7,7,0
3,1,64,62,0
3,1,3,2,0
3,1,14,13,0
3,1,7,6,0
3,1,64,60,0
3,1,3,2,0
3,1,30,30,0
3,1,7,5,0
3,1,30,29,0
3,1,64,64,0
3,1,14,15,0
3,1,14,15,0
3,0,64,67.3328,0
3,0,3,2.96978,0
3,0,14,12.8231,0
3,0,30,27.0097,0
3,0,64,57.5501,0
3,0,3,2.29672,0
3,0,14,11.3195,0
3,0,30,27.5997,0
3,0,64,61.4549,0
3,0,7,5.65488,0
3,0,3,2.17194,0
3,0,30,35.7864,0
3,0,7,5.25412,0
3,0,7,5.83993,0
3,0,14,15.0166,0
4,1,30,20,0
4,1,14,9,0
4,1,14,9,0
4,1,30,20,0
4,1,64,42,0
4,1,3,3,0
4,1,7,5,0
4,1,64,41,0
4,1,64,43,0
4,1,7,5,0
4,1,7,4,0
4,1,14,8,0
4,1,3,2,0
4,1,30,19,0
4,1,3,2,0
4,0,64,92.7572,0
4,0,7,9.80841,0
4,0,14,21.0546,0
4,0,30,43.2428,0
4,0,14,20.9166,0
4,0,64,94.1363,0
4,0,14,19.8971,0
4,0,64,92.4542,0
4,0,3,4.06141,0
4,0,3,3.99896,0
4,0,7,9.68205,0
4,0,30,42.05,0
4,0,3,4.18105,0
4,0,7,9.55977,0
4,0,30,42.9492,0
5,1,14,12,0
5,1,3,2,0
5,1,14,13,0
5,1,7,5,0
5,1,30,23,0
5,1,30,23,0
5,1,64,50,0
5,1,64,50,0
5,1,14,20,0
5,1,3,2,0
5,1,7,5,0
5,1,64,55,0
5,1,30,24,0
5,1,3,2,0
5,1,7,5,0
5,0,64,80.085,0
5,0,7,8.91619,0
5,0,64,79.4252,0
5,0,14,16.5049,0
5,0,14,16.9175,0
5,0,3,3.50355,0
5,0,30,37.8692,0
5,0,14,19.0325,0
5,0,7,8.66986,0
5,0,64,90.2014,0
5,0,30,39.8993,0
5,0,30,41.6542,0
5,0,3,3.2791,0
5,0,3,3.95718,0
5,0,7,9.51672,0
6,1,7,7,0
6,1,30,28,0
6,1,14,15,0
6,1,3,3,0
6,1,64,59,0
6,1,64,59,0
6,1,3,3,0
6,1,7,7,0
6,1,64,65,0
6,1,7,8,0
6,1,3,3,0
6,1,30,31,0
6,1,30,30,0
6,1,14,14,0
6,1,14,13,0
6,0,14,13.8204,0
6,0,7,7.14578,0
6,0,3,2.63818,0
6,0,7,6.3587,0
6,0,30,28.3426,0
6,0,64,66.0377,0
6,0,64,69.8979,0
6,0,3,3.0643,0
6,0,14,14.5344,0
6,0,64,66.3807,0
6,0,3,3.45574,0
6,0,30,32.4896,0
6,0,30,33.6127,0
6,0,14,17.4398,0
6,0,7,7.4954,0
7,1,30,30,0
7,1,30,30,0
7,1,3,3,0
7,1,7,7,0
7,1,64,60,0
7,1,30,30,0
7,1,3,3,0
7,1,7,7,0
7,1,64,67,0
7,1,14,15,0
7,1,3,4,0
7,1,14,15,0
7,1,14,17,0
7,1,64,70,0
7,1,7,8,0
7,0,64,52.8185,0
7,0,64,53.5013,0
7,0,14,9.85974,0
7,0,7,5.63289,0
7,0,30,24.4727,0
7,0,7,6.21772,0
7,0,14,12.38,0
